source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.445216218243756,1.1118229558368982,3.894836850988213,480,2000,3.347099056271697,3.5462642310374046,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,1.4201702907648723,0.37380554791429355,1.4276731130084954,240,2000,1.3731775721090314,1.468126575427262,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.725612663054926,1.4735126735010455,3.8178021229832666,240,2000,3.5429622311852045,3.909621606243636,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.7482170701445283,1.5104847264910817,3.5837869840324856,240,2000,3.5608483168742167,3.93775630432225,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.906426360140904,0.8127167538378773,3.0927521945122862,480,2000,2.832784723456627,2.9808706535278557,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.8059592085370846,0.8712485968043087,3.1803656069823774,480,2000,2.7277460836821454,2.8843516102840856,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.5878067105767815,1.160653670027758,4.087061784506659,480,2000,3.4843259064339374,3.693411555306193,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,1.4470170912093938,0.39376183986253654,1.4769123755104374,240,2000,1.3985984599299779,1.4975018518517664,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.593721496688886,1.4247712753035073,3.7040532330283895,240,2000,3.4167738183584153,3.774973480620459,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.5924860853316205,1.4389124759020824,3.5062279680132633,240,2000,3.4136604259804244,3.775024834019347,2000,0.95
robustness_v2,robustness_decode,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.944159034955936,1.559135518038028,4.06149067609063,48,2000,3.5236591793949272,4.394350377086427,2000,0.95
robustness_v2,robustness_decode,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,4.083408758435326,1.6258428658854576,4.187699339998289,48,2000,3.6447159203380335,4.553965135974713,2000,0.95
robustness_v2,robustness_decode,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.781893609681378,1.5022985946832588,3.9451654520512833,48,2000,3.38044634252049,4.2120451985964,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_tokens_per_second,payload,20.808457103510342,1.1105968896364327,20.98678760724033,48,2000,20.50102687863617,21.10923646071013,2000,0.95
ablation_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,generation_tokens_per_second,payload,28.919330873710805,1.4280206832950242,28.781432730295403,48,2000,28.535259096889554,29.301473863780945,2000,0.95
